Geographic Area,StateCode,CountyCode,Estate Code,2010 Population
Estate Adventure,78,10,70,214
Estate Allandale,78,10,600,0
Estate All for the Better,78,10,800,165
Estate Altona,78,10,1400,127
Estate Anguilla,78,10,2500,0
Estate Annaberg and Shannon Grove,78,10,3550,0
Estate Annaly,78,10,3630,9
Estate Annas Hope,78,10,3800,616
Estate A Piece of Land,78,10,5540,0
Estate Barren Spot 1,78,10,5575,1
Estate Barren Spot 2,78,10,5585,1371
Estate Becks Grove,78,10,6175,5
Estate Beeston Hill,78,10,6225,224
Estate Bellevue,78,10,6260,19
Estate Belvedere,78,10,6310,58
Estate Bethlehem Middle Works,78,10,7100,90
Estate Bethlehem Old Works,78,10,7400,1261
Estate Betsys Jewel,78,10,7500,18
Estate Bettys Hope,78,10,7650,0
Estate Blessing,78,10,7850,111
Estate Bodkin,78,10,7910,0
Estate Body Slob North,78,10,7920,0
Estate Body Slob South,78,10,7930,0
Estate Boetzberg,78,10,7940,436
Estate Bonne Esperance 1,78,10,8075,3
Estate Bonne Esperance 2,78,10,8080,42
Estate Brooks Hill,78,10,8600,28
Estate Bugby Hole,78,10,9300,53
Estate Cain Carlton,78,10,10600,29
Estate Caledonia,78,10,10800,0
Estate Canaan,78,10,11525,31
Estate Cane,78,10,11750,203
Estate Cane Bay,78,10,11840,33
Estate Cane Garden,78,10,11900,73
Estate Cane Valley,78,10,12050,12
Estate Carina,78,10,12500,0
Estate Carlton 1 North,78,10,12750,116
Estate Carlton 1 South,78,10,12800,49
Estate Carlton 2,78,10,12900,321
Estate Cassava Garden,78,10,13700,0
Estate Castle Coakley,78,10,14600,404
Estate Castle Nugent,78,10,14700,0
Estate Catherines Hope,78,10,14840,62
Estate Catherines Rest,78,10,14870,580
Estate Clairmont,78,10,22325,64
Estate Clifton Hill,78,10,22400,929
Estate Coakley Bay,78,10,23200,86
Estate Colquohoun,78,10,23500,573
Estate Concordia East,78,10,24460,143
Estate Concordia West,78,10,24500,546
Estate Constitution Hill,78,10,24600,244
Estate Contentment,78,10,26450,20
Estate Corn Hill,78,10,27250,9
Estate Cottage,78,10,27300,135
Estate Cotton Garden,78,10,27400,0
Estate Cotton Grove,78,10,27525,0
Estate Cotton Valley,78,10,27600,303
Estate Diamond East,78,10,29850,544
Estate Diamond Keturah,78,10,30100,4
Estate Diamond West,78,10,30300,214
Estate East Street,78,10,34750,1397
Estate Elizas Retreat,78,10,34850,9
Estate Enfield Green,78,10,35150,471
Estate Envy,78,10,35450,0
Estate Fangselet,78,10,35550,183
Estate Fareham,78,10,35650,0
Estate Fountain,78,10,36050,114
Estate Frederikshaab,78,10,37700,90
Estate Friedensthal,78,10,41600,164
Estate Glynn,78,10,43500,753
Estate Golden Grove,78,10,44250,472
Estate Golden Rock,78,10,44300,1875
Estate Granard,78,10,45050,14
Estate Grange,78,10,45150,42
Estate Grange Stock,78,10,45200,31
Estate Great Pond,78,10,45525,8
Estate Green Cay,78,10,45575,130
Estate Grove Place,78,10,46100,797
Estate Gumbs Land,78,10,46150,7
Estate Hams Bay,78,10,46320,11
Estate Hams Bluff,78,10,46330,0
Estate Hannahs Rest,78,10,46350,839
Estate Hard Labor,78,10,46380,0
Estate Hartman,78,10,47000,0
Estate Hermitage,78,10,47600,27
Estate Hermon Hill,78,10,47750,699
Estate Hogensborg,78,10,48030,18
Estate Hope and Carton Hill,78,10,48130,60
Estate Hope East,78,10,48140,111
Estate Hope West,78,10,48150,32
Estate Jacks Bay,78,10,48600,0
Estate Jerusalem and Figtree Hill,78,10,49700,56
Estate Jolly Hill,78,10,49930,8
Estate Judiths Fancy,78,10,49960,469
Estate Kingshill,78,10,50550,80
Estate Kramers Park,78,10,51500,0
Estate La Grande Princess,78,10,51700,2024
Estate La Grange,78,10,53400,632
Estate La Press Valley,78,10,53825,0
Estate La Reine,78,10,54000,391
Estate La Vallee,78,10,54200,217
Estate Lebanon Hill,78,10,54300,22
Estate Little Fountain,78,10,54920,31
Estate Little La Grange,78,10,54930,69
Estate Little Princess North,78,10,54970,13
Estate Little Princess South,78,10,54975,272
Estate Little Profit,78,10,54980,0
Estate Longford,78,10,55100,16
Estate Long Point,78,10,55200,0
Estate Lower Love,78,10,55930,3
Estate Lowry Hill,78,10,55960,50
Estate Madam Carty,78,10,56200,0
Estate Mannings Bay,78,10,56860,0
Estate Marienhoj,78,10,56950,24
Estate Marys Fancy,78,10,57100,444
Estate Mon Bijou North,78,10,57425,3
Estate Mon Bijou South,78,10,57430,955
Estate Montpellier East,78,10,57530,171
Estate Montpellier West,78,10,57560,53
Estate Morning Star North,78,10,57650,19
Estate Morning Star South,78,10,57660,228
Estate Mountain,78,10,57670,35
Estate Mount Eagle,78,10,57680,0
Estate Mount Fancy,78,10,57690,0
Estate Mount Pleasant East 1,78,10,57790,68
Estate Mount Pleasant East 2,78,10,57800,11
