Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
United States Virgin Islands,78,-1,-1,Total,106405
St. Croix Island,78,10,-1,Total,50601
Anna's Hope Village subdistrict,78,10,-1,Total,4041
Christiansted subdistrict,78,10,-1,Total,2626
East End subdistrict,78,10,-1,Total,2453
Frederiksted subdistrict,78,10,-1,Total,3091
Northcentral subdistrict,78,10,-1,Total,4977
Northwest subdistrict,78,10,-1,Total,4863
Sion Farm subdistrict,78,10,-1,Total,13003
Southcentral subdistrict,78,10,-1,Total,8049
Southwest subdistrict,78,10,-1,Total,7498
St. John Island,78,20,-1,Total,4170
Central subdistrict,78,20,-1,Total,779
Coral Bay subdistrict,78,20,-1,Total,634
Cruz Bay subdistrict,78,20,-1,Total,2706
East End subdistrict,78,20,-1,Total,51
St. Thomas Island,78,30,-1,Total,51634
Charlotte Amalie subdistrict,78,30,-1,Total,18481
East End subdistrict,78,30,-1,Total,8403
Northside subdistrict,78,30,-1,Total,10049
Southside subdistrict,78,30,-1,Total,5411
Tutu subdistrict,78,30,-1,Total,6867
Water Island subdistrict,78,30,-1,Total,182
West End subdistrict,78,30,-1,Total,2241
Estate Adventure,78,10,70,Total,214
Estate Allandale,78,10,600,Total,0
Estate All for the Better,78,10,800,Total,165
Estate Altona,78,10,1400,Total,127
Estate Anguilla,78,10,2500,Total,0
Estate Annaberg and Shannon Grove,78,10,3550,Total,0
Estate Annaly,78,10,3630,Total,9
Estate Annas Hope,78,10,3800,Total,616
Estate A Piece of Land,78,10,5540,Total,0
Estate Barren Spot 1,78,10,5575,Total,1
Estate Barren Spot 2,78,10,5585,Total,1371
Estate Becks Grove,78,10,6175,Total,5
Estate Beeston Hill,78,10,6225,Total,224
Estate Bellevue,78,10,6260,Total,19
Estate Belvedere,78,10,6310,Total,58
Estate Bethlehem Middle Works,78,10,7100,Total,90
Estate Bethlehem Old Works,78,10,7400,Total,1261
Estate Betsys Jewel,78,10,7500,Total,18
Estate Bettys Hope,78,10,7650,Total,0
Estate Blessing,78,10,7850,Total,111
Estate Bodkin,78,10,7910,Total,0
Estate Body Slob North,78,10,7920,Total,0
